uniprot_ac_1	uniprot_ac_2	complex_id	complex_name
A0JLT2	O43513	230	Mediator complex
A0JLT2	O43513	5450	Mediator complex
A0JLT2	O60244	230	Mediator complex
A0JLT2	O60244	5450	Mediator complex
A0JLT2	O60313	5450	Mediator complex
A0JLT2	O75448	230	Mediator complex
A0JLT2	O75448	5450	Mediator complex
A0JLT2	O95402	230	Mediator complex
A0JLT2	O95402	5450	Mediator complex
A0JLT2	P24863	230	Mediator complex
A0JLT2	Q13503	230	Mediator complex
A0JLT2	Q13503	5450	Mediator complex
A0JLT2	Q15528	230	Mediator complex
A0JLT2	Q15528	867	TRAP-SMCC mediator complex
A0JLT2	Q15528	5450	Mediator complex
A0JLT2	Q15648	230	Mediator complex
A0JLT2	Q15648	867	TRAP-SMCC mediator complex
A0JLT2	Q15648	5450	Mediator complex
A0JLT2	Q6P2C8	230	Mediator complex
A0JLT2	Q6P2C8	5450	Mediator complex
A0JLT2	Q71F56	230	Mediator complex
A0JLT2	Q71F56	5450	Mediator complex
A0JLT2	Q71SY5	230	Mediator complex
A0JLT2	Q71SY5	867	TRAP-SMCC mediator complex
A0JLT2	Q71SY5	5450	Mediator complex
A0JLT2	Q93074	230	Mediator complex
A0JLT2	Q96HR3	230	Mediator complex
A0JLT2	Q96HR3	5450	Mediator complex
A0JLT2	Q96RN5	230	Mediator complex
A0JLT2	Q96RN5	5450	Mediator complex
A0JLT2	Q9BTT4	230	Mediator complex
A0JLT2	Q9BTT4	5450	Mediator complex
A0JLT2	Q9BUE0	230	Mediator complex
A0JLT2	Q9BUE0	867	TRAP-SMCC mediator complex
A0JLT2	Q9BUE0	5450	Mediator complex
A0JLT2	Q9BWU1	230	Mediator complex
A0JLT2	Q9H204	230	Mediator complex
A0JLT2	Q9H944	230	Mediator complex
A0JLT2	Q9H944	5450	Mediator complex
A0JLT2	Q9NPJ6	230	Mediator complex
A0JLT2	Q9NPJ6	867	TRAP-SMCC mediator complex
A0JLT2	Q9NPJ6	5450	Mediator complex
A0JLT2	Q9NVC6	230	Mediator complex
A0JLT2	Q9NVC6	867	TRAP-SMCC mediator complex
A0JLT2	Q9NVC6	5450	Mediator complex
A0JLT2	Q9NWA0	230	Mediator complex
A0JLT2	Q9NX70	230	Mediator complex
A0JLT2	Q9NX70	867	TRAP-SMCC mediator complex
A0JLT2	Q9NX70	5450	Mediator complex
A0JLT2	Q9P086	230	Mediator complex
A0JLT2	Q9P086	867	TRAP-SMCC mediator complex
A0JLT2	Q9P086	5450	Mediator complex
A0JLT2	Q9UHV7	230	Mediator complex
A0JLT2	Q9UHV7	5450	Mediator complex
A0JLT2	Q9ULK4	230	Mediator complex
A0JLT2	Q9ULK4	5450	Mediator complex
A0JLT2	Q9Y3C7	230	Mediator complex
A0JLT2	Q9Y3C7	5450	Mediator complex
A5D8V6	Q99816	1192	ESCRT-I complex
A5PLL7	O95999	2745	Ubiquitin ligase complex (TRAF6, TAB2, MALT1, UEV1A, BCL10)
A5PLL7	P61088	2748	Ubiquitin-protein ligase (UBE2N, UBE2V2/MMS2)
A5PLL7	Q9Y4K3	2745	Ubiquitin ligase complex (TRAF6, TAB2, MALT1, UEV1A, BCL10)
A6H8Y1	P20226	1114	5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex
A6H8Y1	Q9UKN8	1114	5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex
A6H8Y1	Q9Y5Q8	1114	5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex
A6H8Y1	Q9Y5Q9	1114	5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex
A8K8P3	Q99459	1183	CDC5L complex
O00148	O95777	5615	Emerin complex 52
O00148	P10827	5615	Emerin complex 52
O00148	P12277	5615	Emerin complex 52
O00148	P14866	5615	Emerin complex 52
O00148	P20700	5615	Emerin complex 52
O00148	P27348	5615	Emerin complex 52
O00148	P46940	5615	Emerin complex 52
O00148	P50402	5615	Emerin complex 52
O00148	P51858	5615	Emerin complex 52
O00148	P60709	5615	Emerin complex 52
O00148	P61978	5615	Emerin complex 52
O00148	P62258	5615	Emerin complex 52
O00148	P62314	5615	Emerin complex 52
O00148	Q00839	5615	Emerin complex 52
O00148	Q02539	5615	Emerin complex 52
O00148	Q07021	5615	Emerin complex 52
O00148	Q08999	5615	Emerin complex 52
O00148	Q12906	5615	Emerin complex 52
O00148	Q13287	5615	Emerin complex 52
O00148	Q53EL6	5615	Emerin complex 52
O00148	Q9BZZ5	5615	Emerin complex 52
O00148	Q9Y2U8	5615	Emerin complex 52
O00161	Q15836	1169	SNARE complex (STX4, VAMP8, VAMP3, SNAP23)
O00203	O14617	59	AP3 adapter complex
O00203	O14617	652	AP3-BLOC1 complex
O00213	P05067	143	APP-FE65-LRP complex
O00213	Q07954	143	APP-FE65-LRP complex
O00213	Q63HK5	5870	FE65-TSHZ3-HDAC1 complex
O00217	P19404	178	Respiratory chain complex I (holoenzyme), mitochondrial
O00217	P19404	2920	Respiratory chain complex I (lambda subunit) mitochondrial
O00217	P56181	178	Respiratory chain complex I (holoenzyme), mitochondrial
O00217	P56181	2920	Respiratory chain complex I (lambda subunit) mitochondrial
O00217	Q9NX14	178	Respiratory chain complex I (holoenzyme), mitochondrial
O00217	Q9P0J0	178	Respiratory chain complex I (holoenzyme), mitochondrial
O00217	Q9P0J0	2920	Respiratory chain complex I (lambda subunit) mitochondrial
O00217	Q9UI09	178	Respiratory chain complex I (holoenzyme), mitochondrial
O00217	Q9UI09	2920	Respiratory chain complex I (lambda subunit) mitochondrial
O00221	O60271	5230	CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex
O00221	P35606	5230	CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex
O00221	Q01201	5193	TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)
O00221	Q04206	5193	TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)
O00221	Q04206	5230	CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex
O00221	Q04206	5465	IKB(epsilon)-RELA-cREL complex
O00221	Q04864	5193	TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)
O00221	Q04864	5230	CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex
O00221	Q04864	5465	IKB(epsilon)-RELA-cREL complex
O00221	Q8NFZ5	5193	TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)
